gens,best_fitness,avg_fitness,best_gene
1,0.00022696323195642307,0.00015078213299746866,"[1, 7, 12, 11, 13, 2, 4, 5, 3, 6, 0, 10, 8, 9]"
2,0.00022696323195642307,0.00015107056745214704,"[1, 7, 12, 11, 13, 2, 4, 5, 3, 6, 0, 10, 8, 9]"
3,0.00022696323195642307,0.00015126348593850716,"[1, 7, 12, 11, 13, 2, 4, 5, 3, 6, 0, 10, 8, 9]"
4,0.00022696323195642307,0.00015151007103730445,"[1, 7, 12, 11, 13, 2, 4, 5, 3, 6, 0, 10, 8, 9]"
5,0.00022696323195642307,0.00015177002707992453,"[1, 7, 12, 11, 13, 2, 4, 5, 3, 6, 0, 10, 8, 9]"
6,0.00022696323195642307,0.0001520344907509283,"[1, 7, 12, 11, 13, 2, 4, 5, 3, 6, 0, 10, 8, 9]"
7,0.00022696323195642307,0.00015223152644252462,"[1, 7, 12, 11, 13, 2, 4, 5, 3, 6, 0, 10, 8, 9]"
8,0.00022696323195642307,0.00015247470936491825,"[1, 7, 12, 11, 13, 2, 4, 5, 3, 6, 0, 10, 8, 9]"
9,0.00022696323195642307,0.00015275208770523414,"[1, 7, 12, 11, 13, 2, 4, 5, 3, 6, 0, 10, 8, 9]"
10,0.00022696323195642307,0.0001530185825115834,"[1, 7, 12, 11, 13, 2, 4, 5, 3, 6, 0, 10, 8, 9]"
11,0.00022696323195642307,0.0001533016050785631,"[1, 7, 12, 11, 13, 2, 4, 5, 3, 6, 0, 10, 8, 9]"
12,0.00022696323195642307,0.0001535841085013152,"[1, 7, 12, 11, 13, 2, 4, 5, 3, 6, 0, 10, 8, 9]"
13,0.00022696323195642307,0.00015373101551613555,"[1, 7, 12, 11, 13, 2, 4, 5, 3, 6, 0, 10, 8, 9]"
14,0.00022696323195642307,0.00015392203678827948,"[1, 7, 12, 11, 13, 2, 4, 5, 3, 6, 0, 10, 8, 9]"
15,0.00022696323195642307,0.0001540710222470705,"[1, 7, 12, 11, 13, 2, 4, 5, 3, 6, 0, 10, 8, 9]"
16,0.00022696323195642307,0.00015436544232129084,"[1, 7, 12, 11, 13, 2, 4, 5, 3, 6, 0, 10, 8, 9]"
17,0.00023479690068091102,0.0001546795189156067,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
18,0.00023479690068091102,0.00015492133671522718,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
19,0.00023479690068091102,0.00015505380595822875,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
20,0.00023479690068091102,0.0001552143087493698,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
21,0.00023479690068091102,0.000155507250908811,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
22,0.00023479690068091102,0.00015566161078678237,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
23,0.00023479690068091102,0.00015580668488398484,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
24,0.00023479690068091102,0.00015608003895568106,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
25,0.00023479690068091102,0.00015633259716072654,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
26,0.00023479690068091102,0.0001566218938279717,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
27,0.00023479690068091102,0.00015685343569932009,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
28,0.00023479690068091102,0.00015706752032521916,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
29,0.00023479690068091102,0.00015735399085955618,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
30,0.00023479690068091102,0.00015764258819259992,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
31,0.00023479690068091102,0.00015783216101733033,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
32,0.00023479690068091102,0.0001580465576478736,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
33,0.00023479690068091102,0.00015827369859525508,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
34,0.00023479690068091102,0.0001584838008810476,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
35,0.00023479690068091102,0.00015858547534784828,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
36,0.00023479690068091102,0.000158718705965713,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
37,0.00023479690068091102,0.0001589435505008105,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
38,0.00023479690068091102,0.00015916839221118807,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
39,0.00023479690068091102,0.00015936044793100828,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
40,0.00023479690068091102,0.00015959942230442406,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
41,0.00023479690068091102,0.00015969085713031937,"[7, 12, 6, 11, 13, 2, 4, 5, 3, 0, 10, 8, 9, 1]"
